,Name,iskmer,precision,recall,F1
0,14c38p,True,0.5,,
1,14c38p,False,0.5788132752262822,0.5150490967981463,0.5450726933194404
2,14c38p,False,0.5,,
3,2c9p,True,0.5,,
4,2c9p,False,0.6808510638297872,0.5714285714285714,0.6213592233009708
5,2c9p,False,0.4787234042553192,0.45,0.4639175257731959
6,10c25p,True,0.5,,
7,10c25p,False,0.5289634146341464,0.5223313053097345,0.5256264405887948
8,10c25p,False,0.5,,
9,2c5p_low_copy,False,0.5555555555555556,0.5555555555555556,0.5555555555555556
10,2c5p_low_copy,False,0.5,,
11,2c5p,True,0.6491228070175439,0.6103896103896104,0.6291606367583213
12,2c5p,False,0.5482456140350878,0.5482456140350878,0.5482456140350878
13,2c5p,False,0.5,,
14,10c25p_low_copy,False,0.5705128205128205,0.5785714285714286,0.5745138667516736
15,10c25p_low_copy,False,0.5,,
