,Name,iskmer,precision,recall,F1
0,14c38p,False,0.5788132752262822,0.5150490967981463,0.5450726933194404
1,14c38p,False,0.5902782433791485,0.5168291463567054,0.5511172691411059
2,2c9p,False,0.6808510638297872,0.5714285714285714,0.6213592233009708
3,2c9p,False,0.6595744680851063,0.5675675675675675,0.6101218369259606
4,10c25p,False,0.5289634146341464,0.5223313053097345,0.5256264405887948
5,10c25p,False,0.5558644189383071,0.5422659430122116,0.5489809839828439
6,2c5p_low_copy,False,0.5555555555555556,0.5555555555555556,0.5555555555555556
7,2c5p_low_copy,False,0.7777777777777778,0.7142857142857143,0.7446808510638298
8,2c5p,False,0.5482456140350878,0.5482456140350878,0.5482456140350878
9,2c5p,False,0.5789473684210527,0.6363636363636364,0.6062992125984253
10,10c25p_low_copy,False,0.5705128205128205,0.5785714285714286,0.5745138667516736
11,10c25p_low_copy,False,0.6012820512820514,0.6031870428422152,0.6022330405922447
12,wastewater-plasmidome,False,0.6737314254265272,0.6592202158781397,0.6663968323394674
13,wastewater-plasmidome,False,0.6828673637864612,0.677362015586634,0.6801035486028227
